id,hierarchy,galil,kahal,name,settlement_type,pop,year,region,modern_name,viv,pow,geocode,lat,lon,kahal_id,subunit
156,,Rus,Cekinowka,Kietrosy,village,9,1765,BRT,Dovzhok,Bracław,Bracław,BRC_CEKINOWKA,48.23966,28.52579,292,
157,,Rus,Cekinowka,Podlesowka,village,7,1765,BRT,Pidlisivka,Bracław,Bracław,BRC_CEKINOWKA,48.23966,28.47688,292,
158,,Rus,Cekinowka,Jankułow,village,3,1765,BRT,Ivankiv,Bracław,Bracław,BRC_CEKINOWKA,48.21102,28.37506,292,
160,1,Rus,Czeczelnik,Czeczelnik,city,485,1765,BRT,Chechelnyk,Bracław,Bracław,BRC_CZERNIOWCE,48.21517966,29.3625927,293,
161,,Rus,Czeczelnik,Nowe Miasto,city,60,1765,BRT,Olhopil,Bracław,Bracław,BRC_CZERNIOWCE,48.18577,29.49499,293,
162,,Rus,Czeczelnik,Rohuzna,village,9,1765,BRT,Rohizka,Bracław,Bracław,BRC_CZERNIOWCE,48.24622549,29.44164276,293,
163,,Rus,Czeczelnik,Demowka,village,25,1765,BRT,Demivka,Bracław,Bracław,BRC_CZERNIOWCE,48.14547243,29.57622528,293,
164,,Rus,Czeczelnik,Słoboda Demowska,village,6,1765,BRT,Demivka,Bracław,Bracław,BRC_CZERNIOWCE,48.14547243,29.57622528,293,
165,,Rus,Czeczelnik,Lubomirka,village,20,1765,BRT,Liubomyrka,Bracław,Bracław,BRC_CZERNIOWCE,48.13344436,29.51322556,293,
166,,Rus,Czeczelnik,Matyiowka,village,12,1765,BRT,Stratiivka,Bracław,Bracław,BRC_CZERNIOWCE,48.14111974,29.41623688,293,
167,,Rus,Czeczelnik,Popowa Grobla,village,21,1765,BRT,Popova Hreblia,Bracław,Bracław,BRC_CZERNIOWCE,48.12994996,29.29761887,293,
168,,Rus,Czeczelnik,Rozboyna,village,11,1765,BRT,Stratiivka,Bracław,Bracław,BRC_CZERNIOWCE,48.13998,29.42608,293,
169,,Rus,Czeczelnik,Łuh,village,17,1765,BRT,Staro-Lug,Bracław,Bracław,BRC_CZERNIOWCE,48.21437897,29.14089203,293,
170,,Rus,Czeczelnik,Werbka,village,46,1765,BRT,Verbka,Bracław,Bracław,BRC_CZERNIOWCE,48.21460774,29.27616119,293,
171,,Rus,Czeczelnik,Biały Kamień,village,5,1765,BRT,Bilyi Kamin,Bracław,Bracław,BRC_CZERNIOWCE,48.26491251,29.37675476,293,
172,,Rus,Czeczelnik,Sawranka,village,7,1765,BRT,Sarazhinka,Bracław,Bracław,BRC_CZERNIOWCE,48.08834,29.44918,293,
174,1,Rus,Raszkow,Raszkow,city,103,1765,BRT,Oleksiivka,Bracław,Bracław,BRC_RASZKOW,47.95061559,28.8236618,294,
175,,Rus,Raszkow,Podeyna,village,6,1765,BRT,Zahnitkiv,Bracław,Bracław,BRC_RASZKOW,47.99279375,28.77559662,294,
176,,Rus,Raszkow,Podeymica,village,3,1765,BRT,Zahnitkiv,Bracław,Bracław,BRC_RASZKOW,47.99991581,28.74555588,294,
177,,Rus,Raszkow,Kamienka,village,9,1765,BRT,Bolhan,Bracław,Bracław,BRC_RASZKOW,48.03149376,28.69972229,294,
178,,Rus,Raszkow,Kuzmin,village,7,1765,BRT,Volovaya,Bracław,Bracław,BRC_RASZKOW,48.09327312,28.62977028,294,
179,,Rus,Raszkow,Chrustowa,village,11,1765,BRT,Bolhan,Bracław,Bracław,BRC_RASZKOW,48.10662881,28.73096466,294,
180,,Rus,Raszkow,Bułhany,village,6,1765,BRT,Bolhan,Bracław,Bracław,BRC_RASZKOW,48.14373,28.73097,294,
181,,Rus,Raszkow,Kukuły,village,17,1765,BRT,Kukuly,Bracław,Bracław,BRC_RASZKOW,48.16997,28.74935,294,
182,,Rus,Raszkow,Dimitraszkowka,village,11,1765,BRT,Dmytrashkivka,Bracław,Bracław,BRC_RASZKOW,48.19848,28.77362,294,
183,,Rus,Raszkow,Studenna,village,10,1765,BRT,Studena,Bracław,Bracław,BRC_RASZKOW,48.14287,28.8559,294,
184,,Rus,Raszkow,Zahnitkow,village,14,1765,BRT,Zatyshne,Bracław,Bracław,BRC_RASZKOW,48.16116567,28.89006546,294,
185,,Rus,Raszkow,Besztańkow,village,9,1765,BRT,Bashtankiv,Bracław,Bracław,BRC_RASZKOW,48.10641,29.00075,294,
186,,Rus,Raszkow,Honorowka,village,8,1765,BRT,Honorivka,Bracław,Bracław,BRC_RASZKOW,48.17913692,29.0039761,294,
187,,Rus,Raszkow,Peryżna,village,9,1765,BRT,Pyrizhna,Bracław,Bracław,BRC_RASZKOW,48.15435673,29.10318859,294,
