name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Bol'shie Solochniki,0401Bl1,Vilnius,4,1,Pale,Lithuania,0,207,586,54.3,25.3833,1,Bol'shie Solochniki,selo,,,586,,Vilnius,Vilnius
Bystritsa,0401By1,Vilnius,4,1,Pale,Lithuania,1,,,54.8,25.8833,0,Bystritsa,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Bezdany,0401Bz1,Vilnius,4,1,Pale,Lithuania,1,,,54.8,25.5333,0,Bezdany,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Chabishki,0401Cb1,Vilnius,4,1,Pale,Lithuania,1,,,54.9667,24.65,0,Chabishki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Dubinki,0401Db1,Vilnius,4,1,Pale,Lithuania,1,,,55.0667,25.45,0,Dubinki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Gedroitsy,0401Gd1,Vilnius,4,1,Pale,Lithuania,0,357,548,55.0833,25.2833,1,Gedroitsy,mestechko,,,548,,Vilnius,Vilnius
Gelvani,0401Gl1,Vilnius,4,1,Pale,Lithuania,0,374,523,55.0667,24.7,1,Gelvani (Gel'vany),mestechko,,,523,,Vilnius,Vilnius
Inturki,0401In1,Vilnius,4,1,Pale,Lithuania,1,,,55.1667,25.55,0,Inturki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Iashuny,0401Is1,Vilnius,4,1,Pale,Lithuania,1,,,54.45,25.3333,0,Iashuny,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Kalvariskie snipishki,0401Kl1,Vilnius,4,1,Pale,Lithuania,1,,,54.6833,25.3167,0,Kalvariskie snipishki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Kernovo,0401Kr1,Vilnius,4,1,Pale,Lithuania,1,,,54.8833,24.85,0,Kernovo,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Laibishki,0401Lb1,Vilnius,4,1,Pale,Lithuania,1,,,54.4833,25.5333,0,Laibishki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Mikhalishki,0401Mk1,Vilnius,4,1,Pale,Lithuania,0,951,1224,54.8167,26.1667,1,Mikhalishki,mestechko,,#NAME?,1224,,Vilnius,Vilnius
Maliaty,0401Ml1,Vilnius,4,1,Pale,Lithuania,0,1948,2397,55.2333,25.4167,1,Maliaty,mestechko,,,2397,,Vilnius,Vilnius
Meishagola,0401Ms1,Vilnius,4,1,Pale,Lithuania,0,109,920,54.8667,25.0667,1,Meishagola,mestechko,,,920,,Vilnius,Vilnius
Musniki,0401Ms2,Vilnius,4,1,Pale,Lithuania,1,,,54.95,24.85,0,Musniki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Niemenchin,0401Nm1,Vilnius,4,1,Pale,Lithuania,0,639,886,54.85,25.4833,1,Niemenchin (Niemchiny),mestechko,,,886,,Vilnius,Vilnius
Novo-Vileisk,0401Nv1,Vilnius,4,1,Pale,Lithuania,1,,,54.7,25.4167,0,Novo-Vileisk,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Ostrovets,0401Os1,Vilnius,4,1,Pale,Lithuania,1,,,54.6167,25.9667,0,Ostrovets,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Podberezy,0401Pd1,Vilnius,4,1,Pale,Lithuania,0,556,688,54.9333,25.2333,1,Podberezy (Podberez'e),mestechko,,,688,,Vilnius,Vilnius
Peski,0401Ps1,Vilnius,4,1,Pale,Lithuania,0,197,1740,54.66667,25.26667,1,Peski,prigorod,,,1740,,Vilnius,Vilnius
Rudomino,0401Rd1,Vilnius,4,1,Pale,Lithuania,1,,,54.5833,25.35,0,Rudomino,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Soltanishki,0401Sl1,Vilnius,4,1,Pale,Lithuania,0,413,1440,54.7,25.25,1,Soltanishki,prigorod,,,1440,,Vilnius,Vilnius
Shirvinty,0401Sr1,Vilnius,4,1,Pale,Lithuania,0,1413,1864,55.05,24.95,1,Shirvinty,mestechko,,,1864,,Vilnius,Vilnius
