name,type,prov,dist,pale,region,jews,total,no_jews,full_name,lat,lon,census,jewish_flag,pop_flag,comments,index_sht
Viazyn',mestechko,Vilnius,Vileika,Pale,Lithuania,234,604,0,Viazyn',54.4167,27.1667,1,"","",The district is incorrect in Jewishgen,0402Vz1
Druia,Zashtatnyi gorod,Vilnius,Disna,Pale,Lithuania,3006,4742,0,Druia,55.7833,27.45,1,"","","",0403Dr1
Disna,Uezdnyi gorod,Vilnius,Disna,Pale,Lithuania,4617,6756,0,Disna,55.5667,28.2167,1,"","","",0403Ds1
Glubokoe,mestechko,Vilnius,Disna,Pale,Lithuania,3917,5564,0,Glubokoe,55.13334,27.66667,1,"","",Name of district as it mentioned in census,0403Gl1
Golubiche,"",Vilnius,Disna,Pale,Lithuania,,,1,Golubiche,55.1167,27.9667,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Gl2
Germanoviche,"",Vilnius,Disna,Pale,Lithuania,,,1,Germanoviche,55.4,27.8,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Gr1
Iody,"",Vilnius,Disna,Pale,Lithuania,,,1,Iody,55.45,27.2333,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Id1
Ikazn',selo,Vilnius,Disna,Pale,Lithuania,78,673,0,Ikazn',55.61666,27.25,1,"","","",0403Ik1
Koziany-I,selo,Vilnius,Disna,Pale,Lithuania,139,742,0,Koziany-I,55.3,26.8667,1,"","","",0403Kz1
Kozlovshchina,"",Vilnius,Disna,Pale,Lithuania,,,1,Kozlovshchina,55.1833,27.3667,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Kz2
Leonpol',"",Vilnius,Disna,Pale,Lithuania,,,1,Leonpol',55.8,27.7833,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Ln1
Luzhki,mestechko,Vilnius,Disna,Pale,Lithuania,761,1672,0,Luzhki,55.35,27.8667,1,"","","",0403Lz1
Miory,"",Vilnius,Disna,Pale,Lithuania,,,1,Miory,55.6167,27.6333,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Mr1
Novo-Pogost,mestechko,Vilnius,Disna,Pale,Lithuania,118,607,0,Novo-Pogost (selo Novo-Pogost),55.5,27.4833,1,"","","",0403Nv1
Plisa,mestechko,Vilnius,Disna,Pale,Lithuania,366,899,0,Plisa,55.2167,27.95,1,"","","",0403Pl1
Perebrod'e,mestechko,Vilnius,Disna,Pale,Lithuania,176,675,0,Perebrod'e,55.61666,27.38333,1,"","","",0403Pr1
Prozoroki,"",Vilnius,Disna,Pale,Lithuania,,,1,Prozoroki,55.3,28.2167,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Pr2
Postavy,mestechko,Vilnius,Disna,Pale,Lithuania,1310,2397,0,Postavy,55.1167,26.8333,1,"","","",0403Ps1
Sharkovshchizna,mestechko,Vilnius,Disna,Pale,Lithuania,1007,1165,0,"Sharkovshchizna (Novo-Sharkovshchizna, Novo-Sharovshchina)",55.3667,27.4667,1,"","","No last digit in total population, need to be checked, according to http://be-x-old.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D0%BA%D0%BE%D1%9E%D1%88%D1%87%D1%8B%D0%BD%D0%B0 - 1165",0403Sr1
Zheludok,mestechko,Vilnius,Disna,Pale,Lithuania,1372,1860,0,Zheludok (Zheludek),53.6,24.9833,1,"","","",0403Zl1
Zaskevichi,"",Vilnius,Disna,Pale,Lithuania,,,1,Zaskevichi,54.4,26.6167,0,"",unknown,Mentioned in Jewishgen but not in the census,0403Zs1
Bielitsy,mestechko,Vilnius,Lida,Pale,Lithuania,679,1686,0,Bielitsy,53.65,25.3167,1,"","","",0404Bl1
Beniakoni,"",Vilnius,Lida,Pale,Lithuania,,,1,Beniakoni,54.25,25.3667,0,"",unknown,Mentioned in Jewishgen but not in the census,0404Bn1
Dubrovo,"",Vilnius,Lida,Pale,Lithuania,,,1,Dubrovo,53.55,25.05,0,"",unknown,Mentioned in Jewishgen but not in the census,0404Db1
Dvortsovaia sloboda,derevnia,Vilnius,Lida,Pale,Lithuania,68,505,0,Dvortsovaia sloboda,53.88334,25.3,1,"","","",0404Dv1
Eishishki,mestechko,Vilnius,Lida,Pale,Lithuania,2376,3196,0,Eishishki,54.1667,25,1,"","","",0404Es1
Lida,Uezdnyi gorod,Vilnius,Lida,Pale,Lithuania,5294,9323,0,Lida,53.8833,25.3,1,"","","",0404Ld1
Novyi Dvor,mestechko,Vilnius,Lida,Pale,Lithuania,664,822,0,Novyi Dvor,53.8,24.5667,1,"","","",0404Nv1
Orlia,mestechko,Vilnius,Lida,Pale,Lithuania,354,804,0,Orlia,53.5,24.9833,1,"","","",0404Or1
Ostrino,mestechko,Vilnius,Lida,Pale,Lithuania,1440,2410,0,Ostrino,53.7333,24.5333,1,"","","",0404Os1
Radun',mestechko,Vilnius,Lida,Pale,Lithuania,896,1621,0,Radun',54.05,25,1,"","","",0404Rd1
Rozhanka,mestechko,Vilnius,Lida,Pale,Lithuania,543,777,0,Rozhanka,53.5333,24.7333,1,"","","",0404Rz1
Shchuchin,mestechko,Vilnius,Lida,Pale,Lithuania,1356,1742,0,Shchuchin,53.6167,24.7333,1,"","","",0404Sc1
Voronovo,mestechko,Vilnius,Lida,Pale,Lithuania,1432,1574,0,Voronovo,54.15,25.3333,1,"","","",0404Vr1
Vasilishki,mestechko,Vilnius,Lida,Pale,Lithuania,2081,2781,0,Vasilishki,53.7833,24.85,1,"","","",0404Vs1
Bakshty,selo,Vilnius,Oshmiany,Pale,Lithuania,172,1461,0,Bakshty,53.9333,26.1833,1,"","",Name of district as it mentioned in census,0405Bk1
Derevno,mestechko,Vilnius,Oshmiany,Pale,Lithuania,350,851,0,Derevno (Derevnaia),53.7,26.5667,1,"","","",0405Dr1
Dzevenishki,mestechko,Vilnius,Oshmiany,Pale,Lithuania,1225,1710,0,Dzevenishki,54.2,25.6167,1,"","","",0405Dz1
Gaviia,"",Vilnius,Oshmiany,Pale,Lithuania,,,1,Gaviia,53.85,25.6,0,"",unknown,Mentioned in Jewishgen but not in the census,0405Gv1
Iv'e,mestechko,Vilnius,Oshmiany,Pale,Lithuania,573,3653,0,Iv'e (Ivve) s derevnei Zakostel'tsy I predmest'e okolitsy Muravshchina,53.9333,25.7667,1,"","","",0405Iv1
Krevo,mestechko,Vilnius,Oshmiany,Pale,Lithuania,809,2201,0,Krevo,54.3167,26.2833,1,"","","",0405Kr1
Lipnishki,mestechko,Vilnius,Oshmiany,Pale,Lithuania,612,1377,0,Lipnishki,54,25.6167,1,"","","",0405Lp1
Nalibok,mestechko,Vilnius,Oshmiany,Pale,Lithuania,120,1683,1,Nalibok (s imeniem Naliboki I vyselkom Podbolot'e),53.75,26.45,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,0405Nl1
Ol'shany,mestechko,Vilnius,Oshmiany,Pale,Lithuania,1049,2183,0,Ol'shany (Gol'shany) s vladiel'cheskoi usad'boi,54.25,26.0167,1,"","","",0405Ol1
Oshmiany,Uezdnyi gorod,Vilnius,Oshmiany,Pale,Lithuania,3803,7214,0,Oshmiany,54.4167,25.9333,1,"","","",0405Os1
Subbotniki,selo/mestechko,Vilnius,Oshmiany,Pale,Lithuania,91,602,0,Subbotniki,54.08333,25.73333,1,"","","",0405Sb1
Soly,mestechko,Vilnius,Oshmiany,Pale,Lithuania,530,981,0,Soly,54.5167,26.1833,1,"","","",0405Sl1
Smorgon',mestechko,Vilnius,Oshmiany,Pale,Lithuania,6743,8908,0,Smorgon',54.4833,26.4,1,"","","",0405Sm1
Traby,mestechko,Vilnius,Oshmiany,Pale,Lithuania,634,1183,0,Traby,54.15,25.9167,1,"","","",0405Tr1
Volozhin,mestechko,Vilnius,Oshmiany,Pale,Lithuania,2452,4534,0,"Volozhin (Volozhino) s imeniem Volozhino I derevniami Bondar', Evlashi, Poniz'e, Sidertsevichi",54.0833,26.5333,1,"","","",0405Vl1
Vishnev,mestechko,Vilnius,Oshmiany,Pale,Lithuania,1463,2650,0,"Vishnev (Vishnevo) s imeniem Vishnevo, s pivo-varennym I medovarennym zavodom I derevniami Gelenovo, Zhukovshchina, Zafinovo-Vishnevskoiu vodianoi mel'nitsei",54.1333,26.2333,1,"","","",0405Vs1
Yasevichi,"",Vilnius,Oshmiany,Pale,Lithuania,,,1,Yasevichi,55.0833,27.8667,0,"",unknown,Mentioned in Jewishgen but not in the census,0405Ys1
Zhuprany,mestechko,Vilnius,Oshmiany,Pale,Lithuania,415,824,0,Zhuprany,54.4667,26.0833,1,"","","",0405Zp1
Daugelishki,"",Vilnius,Sventsiany,Pale,Lithuania,,,1,Daugelishki,55.3667,26.3,0,"",unknown,Mentioned in Jewishgen but not in the census,0406Dg1
Godutishki s kazenoi usad'boi,mestechko,Vilnius,Sventsiany,Pale,Lithuania,1373,2247,0,Godutishki s kazenoi usad'boi Godutishki I derevnei Godutishki I zheleznodorozhnoi stantsiei Godutishki,55.15,26.6,1,"","",Name of district as it mentioned in census,0406Gd1
