line_id,code,jg_id,name,enc_name,presence_type,year_code,upper_bound,lower_bound,mid_range,prov,dist,area,note,entry_source,ziv_yearcode,enc_page,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
2036,KVN_RSS_VVRZ,-2620442.0,Vevirzhany,VEIVIRZENAI,jews_present,1662,1662.0,1662.0,1662.0,Kovno,Rossieny,Pale,,Ziv,1662,1380.0,55.5972134,21.5968304,"Veiviržėnai, Veiviržėnų seniūnija, Klaipėdos rajono savivaldybė, Klaipėdos apskritis, Lietuva",734518533.0,Q2191590,,1.0,matched_refined
2037,VLH_OVR_VLDN,-1048910.0,Veledniki,VELEDNIKI,community_present,1757,1757.0,1757.0,1757.0,Volhynia,Ovruch,Pale,,Ziv,1757,1380.0,51.316415,28.4600082,"Нові Велідники, Словечанська сільська громада, Коростенський район, Житомирська область, 11144, Україна",337509607.0,Q4326345,,0.889,matched_nominatim
2038,POD_NVU_ZHVN,-1057766.0,Zhvanchik,VELIKIT ZHVANCHIK,jews_arrived,17XX,1800.0,1700.0,1750.0,Podolia,Novaia Ushitsa,Pale,,Ziv,17EX,1381.0,48.760929,26.952986,"Великий Жванчик, Хмельницька область, Україна",3205258314.0,Q4106511,,1.0,matched_refined
2039,PSK_VLK_VLKL,-3029851.0,Velikie Luki,VELIKIYE LUKI,jews_present,18MX,1875.0,1850.0,1850.0,Pskov,Velikie Luki,Mainland Russia,,Ziv,18MX,1381.0,56.342361,30.527922,"городской округ Великие Луки, Псковская область, Россия",27072632.0,Q101825,,1.0,matched_db_api
2040,KVN_KVN_VLNY,-2620454.0,Veliony,VELIUONA,jews_arrived,14XX,1500.0,1400.0,1450.0,Kovno,Kovno,Pale,,Ziv,14EX,1382.0,55.078067,23.2737737,"Žibintai, Veliuonos seniūnija, Tauragės apskritis, Lietuva",303719292.0,Q161890,,0.8,matched_db_api
2041,VTB_VLZ_VLZH,-3029984.0,Velizh,VELIZH,jews_arrived,17MX,1775.0,1750.0,1750.0,Vitebsk,Velizh,Pale,,Ziv,17MX,1382.0,55.6045223,31.1949976,"Велиж, Велижский муниципальный округ, Смоленская область, Россия",173835805.0,Q132960,וליז',1.0,matched_db_api
2042,CRL_VND_VNDV,-3214120.0,Vindava,VENTSPILS,jews_present,16XX,1700.0,1600.0,1650.0,Courland,Vindava,Mainland Russia,,Ziv,16EX,1386.0,57.3903918,21.5635991,"Ventspils, Latvija",29488313.0,Q104036,ונטספילס,1.0,matched_db_api
2043,POD_NVU_VRBV,-1057883.0,Verbovets,VERBOVETS,jews_arrived,19XX,1765.0,1765.0,1765.0,Podolia,Novaia Ushitsa,Pale,,Ziv,17EX,1386.0,48.725739,27.42943,"Вербовець, Мурованокуриловецька селищна громада, Могилів-Подільський район, Вінницька область, 23420, Україна",337587821.0,Q4107469,,1.0,matched_nominatim
2044,POD_MGL_VRKH,-1058049.0,Verkhovka,VERHOVKA (I),POP,1897,1897.0,1897.0,1897.0,Podolia,Mogilev,Pale,,Ziv,18EX,1387.0,48.9027982,27.6509902,"Верхівка, Вінницька область, Україна",337580638.0,Q3618288,,1.0,matched_db_api
2045,POD_BRT_VRKH,-1058048.0,Verkhovka,VERHOVKA (II),POP,1765,1765.0,1765.0,1765.0,Podolia,Bratslav,Pale,,Ziv,17EX,1387.0,48.4430532,29.1611894,"Верхівка, Ободівська сільська громада, Гайсинський район, Вінницька область, 24350, Україна",337598225.0,Q4109051,,1.0,matched_nominatim
2046,EKT_VRK_VRKH,-1057945.0,Verkhnednieprovsk,VERKHNEDNEPROVSK,jews_arrived,18EX,1850.0,1800.0,1825.0,Ekaterinoslav,Verkhnednieprovsk,Mainland Russia,,Ziv,18EX,1388.0,48.6541915,34.3347779,"Верхньодніпровськ, Верхньодніпровська міська громада, Кам'янський район, Дніпропетровська область, 51600, Україна",337590592.0,Q639428,,0.97,matched_nominatim
2047,KIV_SKV_VRKH,-1058050.0,Verkhovnia,VERKHOVNIA,POP,1897,1897.0,1897.0,1897.0,Kiev,Skvira,Pale,,Ziv,1897,1388.0,49.8077474,29.3110045,"Верхівня, Ружинська селищна громада, Бердичівський район, Житомирська область, 13613, Україна",337544602.0,Q4109110,,1.0,matched_nominatim
2048,BSS_SRK_VRTZ,-2277585.0,Vertiuzhany,VERTUJENI,community_founded,1838,1838.0,1838.0,1838.0,Bessarabia,Soroki,Pale,,Ziv,,1389.0,47.9927181,28.539332,"Vertiujeni, Moldova",281158737.0,Q2440660,,1.0,matched_db_api
2049,EKT_ALK_VSL,-1058105.0,Veselaia,VESOLYIA,community_founded,18MX,1875.0,1850.0,1850.0,Ekaterinoslav,Aleksandrovsk,Mainland Russia,מושבה חקלאית יהודית,Ziv,1845,1389.0,,,,,,,,not_found
