id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
46,Ostrow,אוסטרוב,Kalisz,KLS,Kaliski,KLS_1,266,,,,KLS_OSTROW,"Ostrów Wielkopolski, Greater Poland Voivodeship, Poland",51.6549856,17.8068258,Great Poland,3,Q9385578,pl:Zacharzew (Ostrów Wielkopolski),9504458676,Miasto Ostrow,0,
47,Zduny,זדוני,Kalisz,KLS,Kaliski,KLS_1,49,,,,KLS_ZDUNY,"Zduny, Krotoszyn County, Greater Poland Voivodeship, Poland",51.64683,17.37824,Great Poland,3,Q169224,pl:Zduny,2705303,Miasto Zduny,0,
48,Odolanow,אודולאנוב,Kalisz,KLS,Kaliski,KLS_1,18,,,,KLS_ODOLANOW,"Odolanów, Ostrów Wielkopolski County, Greater Poland Voivodeship, Poland",51.57429,17.67392,Great Poland,3,Q745567,pl:Odolanów,2705299,Miasto Odolanow,0,
49,Koźminek,קוז'מינק,Kalisz,KLS,Kaliski,KLS_1,225,,,,KLS_KOZMINEK,"Koźminek, Kalisz County, Greater Poland Voivodeship, Poland",51.7985691,18.338986,Great Poland,3,,,,Miasto Koźminek,0,
50,Karmin,,Kalisz,KLS,Kaliski,KLS_1,96,,,,KLS_KARMIN,"Karmin, Pleszew County, Greater Poland Voivodeship, Poland",51.8378989,17.6920495,Great Poland,3,,,31787495,Miasto Karmin,0,
51,Stawiszyn,סטאווישין,Kalisz,KLS,Kaliski,KLS_1,91,,,,KLS_STAWISZYN,"Stawiszyn, Kalisz County, Greater Poland Voivodeship, Poland",51.9177602,18.1117274,Great Poland,3,Q1002685,pl:Stawiszyn,2705482,Miasto Stawiszyn,0,
52,Raszkow,ראשקוב,Kalisz,KLS,Kaliski,KLS_1,8,,,,KLS_RASZKOW,"Raszków, Ostrów Wielkopolski County, Greater Poland Voivodeship, Poland",51.7181762,17.7257496,Great Poland,3,Q990795,pl:Raszków,1738211,Miasto Raszkow,0,
54,Konin,קונין,Kalisz,KLS,Koniński.,KLS_2,133,,,,KLS_KONIN,"Konin, Greater Poland Voivodeship, Poland",52.2230334,18.2510729,Great Poland,3,Q52845,pl:Konin,31626016,Miasto Konin,0,
55,Koło,קולו,Kalisz,KLS,Koniński.,KLS_2,256,,,,KLS_KOLO,"Koło, Greater Poland Voivodeship, Poland",52.19986,18.63847,Great Poland,3,Q52853,pl:Koło (miasto),2859100,Miasto Koło,0,
56,Russocice,רוסושיץ,Kalisz,KLS,Koniński.,KLS_2,57,,,,KLS_RUSSOCICE,"Russocice, Turek County, Greater Poland Voivodeship, Poland",52.1122418,18.4800277,Great Poland,3,Q9324143,pl:Russocice,31612080,Miasto Russocice,0,
57,Golina,גולינה,Kalisz,KLS,Koniński.,KLS_2,142,,,,KLS_GOLINA,"Golina, Konin County, Greater Poland Voivodeship, Poland",52.2429458,18.0927333,Great Poland,3,Q1192513,pl:Golina,2705473,Miasto Golina,0,
58,Kleczew,קלצ'ב,Kalisz,KLS,Koniński.,KLS_2,262,,,,KLS_KLECZEW,"Kleczew, Konin County, Greater Poland Voivodeship, Poland",52.37048,18.17716,Great Poland,3,,,,Miasto Kleczew,0,
59,Wilczyn,וילצ'ין,Kalisz,KLS,Koniński.,KLS_2,39,,,,KLS_WILCZYN,"Wilczyn, Konin County, Greater Poland Voivodeship, Poland",52.4881243,18.1611351,Great Poland,3,Q986743,,31621994,Miasto Wilczyn,0,
